,Value Date,Underlying,Implied Vol,NPY,delta,gamma,vega,theta
0,2020-10-20,205,0.25,0.5349353353993224,0.10311263984915597,0.0161138919376133,7.994560588562062,-0.05854274987542602
1,2020-10-20,210,0.25,1.1919689920984147,0.19825513587682045,0.0251616071571761,12.32918750701625,-0.09611029029836633
2,2020-10-20,210,0.25,1.0942302062689728,0.18999304497544528,0.025321581050420164,11.632101295036794,-0.0966694437739618
3,2020-10-20,210,0.25,0.99599272844859,0.18113195924347025,0.025444816236521787,10.909464961408665,-0.0970864508577633
4,2020-10-20,212,0.25,1.0551639207683934,0.2064568392341556,0.030797433433796692,10.573443285231988,-0.11967707429516734
5,2020-10-20,212,0.25,1.0551639207683934,0.2064568392341556,0.030797433433796692,10.573443285231988,-0.11967707429516734
6,2020-10-20,212,0.25,1.0551639207683934,0.2064568392341556,0.030797433433796692,10.573443285231988,-0.11967707429516734
7,2020-10-20,212,0.25,0.9331245215747948,0.19448396999188558,0.03116206043409598,9.726025306597306,-0.12101394150919181
8,2020-10-20,210,0.25,0.5060523980077752,0.1249103776724303,0.024786283303581246,6.831719335549563,-0.0942899943750136
9,2020-10-20,210,0.25,0.41168696941786254,0.1105390763935121,0.024110688868936192,5.907118772889365,-0.09165906380338344
10,2020-10-20,209,0.24,0.1977204844418698,0.06550423715362423,0.018236752688669387,3.7174647729042904,-0.06322464373585536
11,2020-10-20,209,0.24,0.0432741317181288,0.022188919514673788,0.009998547836952523,1.1646575148424598,-0.034586967837717995
12,2020-10-20,209,0.23,0.03260441645938736,0.01790869000409,0.008698705409081022,0.9710297191559462,-0.0276363307156385
13,2020-10-20,220,0.23,2.1399153318928095,0.5066640509546054,0.07478598303769123,9.250195146395322,-0.26529529184650025
14,2020-10-20,220,0.22,1.7717231979365746,0.5056611973088163,0.09028416736210054,8.01121511726372,-0.29271993684926634
15,2020-10-20,220,0.22,1.4452565542046214,0.5046223999606388,0.11057878235404145,6.5413493028101835,-0.35784776139729
16,2020-10-20,220,0.21,0.9744461436688171,0.5032089494170024,0.16383447389564598,4.625593312987072,-0.4820403902964134
17,2020-10-20,215,0.21,0.0,0.0,0.0,0.0,0.0
18,2020-10-20,215,0.21,0.0,0.0,0.0,0.0,0.0
19,2020-10-20,210,0.22,0.0,0.0,0.0,0.0,0.0
20,2020-10-20,210,0.23,0.0,0.0,0.0,0.0,0.0
